,Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,full_address,gcode,lat,long
112119,20473,6,65,8001,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,2001-05-15,Parts per billion,27.565217,36.0,7,34,Parts per million,0.035292,0.071,11,87,Parts per billion,0.042857,0.3,14,,Parts per million,0.725,0.9,17,10.0,"5888 MISSION BLVD., RUBIDOUX, Rubidoux, California","5888, Mission Boulevard, Rubidoux, Jurupa Valley, Riverside County, California, 92509, United States",34.001871009310435,-117.41708295692446
1564165,99753,39,61,40,250 WM. HOWARD TAFT,Ohio,Hamilton,Cincinnati,2014-07-14,Parts per billion,8.0,15.0,21,14,Parts per million,0.030542,0.043,11,40,Parts per billion,0.516667,1.0,23,,Parts per million,0.176667,0.22,22,,"250 WM. HOWARD TAFT, Cincinnati, Ohio","250, William Howard Taft Road, Mount Auburn, Cincinnati, Hamilton County, Ohio, 45219, United States",39.12838350351491,-84.50447032928734
699084,69779,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2007-04-02,Parts per billion,9.086957,15.0,7,14,Parts per million,0.038542,0.042,0,36,Parts per billion,0.666667,1.0,5,,Parts per million,0.386957,0.5,15,,"PEARL ST, Manchester, New Hampshire","Pearl Street, Manchester, Hillsborough County, New Hampshire, 03104, United States",42.9958587,-71.4612226
1372050,42214,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2013-08-06,Parts per billion,7.722727,13.2,7,12,Parts per million,0.021458,0.028,9,24,Parts per billion,0.116667,0.2,11,,Parts per million,0.1855,0.27,8,,"158B JACKSON ST, San Jose, California","158, Jackson Street, Hensley Historic District, Japantown, San Jose, Santa Clara County, California, 95112, United States",37.34850599019862,-121.89511991624477
295935,21276,6,65,8001,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,2003-12-30,Parts per billion,21.869565,39.0,5,37,Parts per million,0.014292,0.029,11,25,Parts per billion,0.757143,2.0,2,,Parts per million,0.747826,1.6,1,,"5888 MISSION BLVD., RUBIDOUX, Rubidoux, California","5888, Mission Boulevard, Rubidoux, Jurupa Valley, Riverside County, California, 92509, United States",34.001871009310435,-117.41708295692446
1358374,28538,6,59,1003,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,2013-05-26,Parts per billion,2.231818,6.2,0,6,Parts per million,0.036333,0.043,7,40,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.127273,0.3,5,,"2850 MESA VERDE DR EAST, COSTA MESA, Costa Mesa, California","2850, Mesa Verde Drive East, Mesa Verde, Costa Mesa, Orange County, California, 92626, United States",33.6745127,-117.9257705
288699,14040,6,37,1002,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,2003-10-13,Parts per billion,62.0,99.0,19,99,Parts per million,0.020625,0.053,10,45,Parts per billion,1.2,2.6,23,,Parts per million,1.5,2.9,7,,"228 W. PALM AVE., BURBANK, Burbank, California","228, West Palm Avenue, Burbank, Los Angeles County, California, 91502, United States",34.176488906724394,-118.316591119713
35763,35763,6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,2000-03-31,Parts per billion,9.217391,21.0,19,20,Parts per million,0.033667,0.038,9,32,Parts per billion,0.314286,1.0,20,,Parts per million,0.458333,0.9,0,10.0,"304 TUOLUMNE ST., Vallejo, California","304, Tuolumne Street, Vallejo, Solano County, California, 94590, United States",38.10239547097025,-122.23813370140722
1004116,35709,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,2010-06-07,Parts per billion,8.590909,16.0,7,15,Parts per million,0.029542,0.037,11,31,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.475,0.6,7,7.0,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112, San Diego, California","1110, Beardsley Street, BNSF Terminal, San Diego, San Diego County, California, 92113, United States",32.70095002671819,-117.14770866024776
760439,15756,6,23,1004,717 SOUTH AVENUE,California,Humboldt,Eureka,2008-05-05,Parts per billion,3.0,5.0,2,5,Parts per million,0.035458,0.041,17,35,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.204545,0.3,16,,"717 SOUTH AVENUE, Eureka, California","717, South Avenue, Highland Park, Eureka, Humboldt County, California, 95503, United States",40.777503,-124.1791098989899
800593,55910,17,31,4201,750 DUNDEE ROAD,Illinois,Cook,Northbrook,2008-05-08,Parts per billion,2.909091,6.0,23,6,Parts per million,0.027083,0.032,10,27,Parts per billion,0.1875,0.6,11,,Parts per million,0.154167,0.2,0,2.0,"750 DUNDEE ROAD, Northbrook, Illinois","Dundee Road, Northbrook, Cook County, Illinois, 60062, United States",42.1383349,-87.8491288
666905,37600,6,83,2011,"380 N FAIRVIEW AVENUE, GOLETA",California,Santa Barbara,Goleta,2007-08-07,Parts per billion,4.043478,9.0,7,8,Parts per million,0.025042,0.04,10,34,Parts per billion,0.0,0.0,5,,Parts per million,0.154167,0.2,0,2.0,"380 N FAIRVIEW AVENUE, GOLETA, Goleta, California","380, North Fairview Avenue, Goleta, Santa Barbara County, California, 93117, United States",34.445279,-119.829197
563389,34923,6,83,2011,"380 N FAIRVIEW AVENUE, GOLETA",California,Santa Barbara,Goleta,2006-05-10,Parts per billion,7.75,16.0,6,15,Parts per million,0.041125,0.049,10,42,Parts per billion,0.05,1.0,2,1.0,Parts per million,0.0,0.0,0,,"380 N FAIRVIEW AVENUE, GOLETA, Goleta, California","380, North Fairview Avenue, Goleta, Santa Barbara County, California, 93117, United States",34.445279,-119.829197
1065666,97259,48,201,416,7421 Park Place Blvd,Texas,Harris,Houston,2010-04-16,Parts per billion,6.85,11.8,21,10,Parts per million,0.044333,0.049,9,42,Parts per billion,0.6875,1.1,20,,Parts per million,0.2,0.3,19,,"7421 Park Place Blvd, Houston, Texas","7421, Park Place Boulevard, Golfcrest, Houston, Harris County, Texas, 77087, United States",29.685232021601724,-95.29554913732021
1083070,10688,6,1,11,1100 21st Street,California,Alameda,Oakland,2011-11-17,Parts per billion,13.428571,20.9,16,19,Parts per million,0.018435,0.022,21,19,Parts per billion,0.466667,0.8,20,,Parts per million,0.480952,0.6,8,,"1100 21st Street, Oakland, California","1100, 21st Street, West Oakland, Oakland, Alameda County, California, 94607, United States",37.814308,-122.283451
18607,18607,6,65,8001,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,2000-08-07,Parts per billion,15.913043,26.0,9,25,Parts per million,0.028292,0.063,10,61,Parts per billion,2.173913,5.0,5,7.0,Parts per million,0.433333,0.5,6,6.0,"5888 MISSION BLVD., RUBIDOUX, Rubidoux, California","5888, Mission Boulevard, Rubidoux, Jurupa Valley, Riverside County, California, 92509, United States",34.001871009310435,-117.41708295692446
17951,17951,6,65,8001,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,2000-02-25,Parts per billion,20.478261,34.0,7,32,Parts per million,0.013708,0.03,9,25,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.370833,0.7,23,8.0,"5888 MISSION BLVD., RUBIDOUX, Rubidoux, California","5888, Mission Boulevard, Rubidoux, Jurupa Valley, Riverside County, California, 92509, United States",34.001871009310435,-117.41708295692446
